Lambda = 10µm. Sensibility = 0.54 µJy
Planets with contrast superior to 1.00e-04 : 190

R_J		°K		mas		FLux(mJy)	Contrast	Hi5_Hours	Names
7.50e-01	396		1.15e+01	7.83e-03	4.12e-05	2.11e+00	HD141399b						RadialVelocity
1.08e+00	308		1.90e+01	5.60e-03	2.95e-05	2.94e+00	HD141399c						RadialVelocity
2.06e+00	215		4.45e+01	3.21e-03	1.48e-05	5.13e+00	HD141937b						RadialVelocity
1.05e+00	302		3.98e+01	9.81e-03	1.73e-05	1.68e+00	HD142b						RadialVelocity
1.15e+00	264		3.04e+01	3.19e-03	1.52e-05	5.17e+00	HD142415b						RadialVelocity
1.75e+00	421		8.15e+00	2.29e-02	2.35e-04	7.19e-01	HD145377b						RadialVelocity
1.39e+00	331		6.03e+00	1.09e-03	2.65e-05	1.52e+01	HD145457b						RadialVelocity
1.26e+00	473		5.56e+00	2.89e-02	2.93e-04	5.70e-01	HD147018b						RadialVelocity
4.17e-01	243		2.97e+01	2.75e-03	6.24e-06	5.99e+00	HD147379b						RadialVelocity
1.04e+00	237		1.03e+02	1.03e-02	6.02e-06	1.60e+00	HD147513b						RadialVelocity
9.65e-01	278		1.57e+01	1.01e-03	8.76e-06	1.63e+01	HD148427b						RadialVelocity
1.37e+00	250		2.47e+01	1.50e-03	1.35e-05	1.10e+01	HD153950b						RadialVelocity
1.64e+00	337		9.11e+00	6.15e-03	1.01e-04	2.68e+00	HD154672b						RadialVelocity
1.28e+00	285		1.88e+01	1.53e-03	1.11e-05	1.08e+01	HD154857b						RadialVelocity
9.27e-01	312		1.49e+01	3.12e-03	2.95e-05	5.29e+00	HD155358b						RadialVelocity
9.16e-01	247		2.37e+01	9.05e-04	8.58e-06	1.82e+01	HD155358c						RadialVelocity
2.09e+00	329		1.40e+01	3.01e-02	2.06e-04	5.48e-01	HD156279b						RadialVelocity
2.15e+00	292		2.24e+01	9.39e-03	5.30e-05	1.76e+00	HD156846b						RadialVelocity
1.21e+00	319		1.17e+01	2.33e-03	3.63e-05	7.08e+00	HD159243c						RadialVelocity
1.00e+00	217		9.80e+01	3.88e-03	3.43e-06	4.25e+00	HD160691b						RadialVelocity
3.14e-01	883		5.95e+00	6.94e-02	6.13e-05	2.38e-01	HD160691d						RadialVelocity
7.88e-01	277		6.03e+01	1.00e-02	8.83e-06	1.65e+00	HD160691e						RadialVelocity
6.24e-01	449		1.01e+01	8.59e-03	3.91e-05	1.92e+00	HD16141b						RadialVelocity
7.66e-01	297		1.69e+01	1.16e-03	1.05e-05	1.42e+01	HD164509b						RadialVelocity
3.62e-01	530		7.95e+00	7.46e-03	2.82e-05	2.21e+00	HD164595b						RadialVelocity
3.36e-01	401		1.51e+01	4.39e-03	1.39e-05	3.76e+00	HD164922c						RadialVelocity
1.82e+00	352		8.50e+00	3.09e-03	6.76e-05	5.33e+00	HD1666b						RadialVelocity
1.17e+00	232		2.64e+01	7.50e-04	4.42e-06	2.20e+01	HD167042b						RadialVelocity
1.93e+00	445		7.74e+00	7.15e-02	4.92e-04	2.31e-01	HD168443b						RadialVelocity
1.39e+00	365		2.23e+01	1.96e-02	5.31e-05	8.43e-01	HD169830b						RadialVelocity
5.20e-01	369		8.70e+00	1.08e-03	9.22e-06	1.53e+01	HD177830c						RadialVelocity
1.87e+00	432		7.21e+00	3.95e-02	3.88e-04	4.18e-01	HD178911Bb						RadialVelocity
2.74e+00	296		1.06e+01	2.26e-03	3.10e-05	7.29e+00	HD180314b						RadialVelocity
1.51e+00	230		2.86e+01	1.06e-03	9.33e-06	1.55e+01	HD183263b						RadialVelocity
1.12e+00	241		2.29e+01	7.77e-04	8.09e-06	2.12e+01	HD188015b						RadialVelocity
3.83e-01	669		8.21e+00	5.14e-02	6.49e-05	3.21e-01	HD190360c						RadialVelocity
8.82e-01	507		7.70e+00	8.20e-02	2.59e-04	2.01e-01	HD192263b						RadialVelocity
3.68e-01	355		3.63e+01	2.06e-02	1.26e-05	8.02e-01	HD192310b						RadialVelocity
1.31e+00	278		1.71e+01	1.44e-03	1.15e-05	1.15e+01	HD192699b						RadialVelocity
1.34e+00	202		7.18e+01	9.19e-04	2.48e-06	1.80e+01	HD196885b						RadialVelocity
1.09e+00	278		5.83e+01	9.10e-03	1.01e-05	1.81e+00	HD19994b						RadialVelocity
1.09e+00	318		9.92e+00	1.06e-03	2.40e-05	1.55e+01	HD205739b						Imaging
1.10e+00	218		3.94e+01	8.90e-04	4.77e-06	1.85e+01	HD20782b						RadialVelocity
8.06e-01	323		1.03e+01	1.69e-03	2.63e-05	9.77e+00	HD207832b						RadialVelocity
1.24e-01	660		1.99e+01	3.59e-02	1.29e-05	4.60e-01	HD20794b						RadialVelocity
1.20e-01	508		3.36e+01	1.63e-02	5.86e-06	1.01e+00	HD20794c						RadialVelocity
1.50e-01	388		5.77e+01	1.03e-02	3.70e-06	1.60e+00	HD20794d						RadialVelocity
1.50e-01	279		8.40e+01	2.40e-03	8.61e-07	6.88e+00	HD20794e						RadialVelocity
7.87e-01	393		1.19e+01	5.67e-03	3.61e-05	2.91e+00	HD208487b						RadialVelocity
1.06e+00	230		5.35e+01	3.29e-03	6.78e-06	5.02e+00	HD210277b						RadialVelocity
1.21e+00	259		2.15e+01	1.22e-03	7.13e-06	1.35e+01	HD210702b						RadialVelocity
1.61e+00	204		4.98e+01	9.21e-04	4.39e-06	1.79e+01	HD213240b						RadialVelocity
1.27e-01	486		7.13e+00	1.26e-03	5.30e-06	1.31e+01	HD215152e						RadialVelocity
1.43e-01	1015		5.92e+00	1.02e-01	3.76e-05	1.61e-01	HD219134b						RadialVelocity
1.35e-01	782		9.98e+00	5.38e-02	1.98e-05	3.07e-01	HD219134c						RadialVelocity
1.44e-01	411		3.62e+01	1.01e-02	3.70e-06	1.64e+00	HD219134d						RadialVelocity
1.17e-01	523		2.24e+01	1.46e-02	5.36e-06	1.13e+00	HD219134f						RadialVelocity
3.17e-01	304		5.73e+01	1.40e-02	5.17e-06	1.17e+00	HD219134g						RadialVelocity
1.44e+00	325		1.18e+01	4.32e-03	5.67e-05	3.82e+00	HD220842b						RadialVelocity
1.42e+00	278		2.36e+01	2.78e-03	2.00e-05	5.93e+00	HD221287b						RadialVelocity
1.94e+00	216		3.21e+01	1.86e-03	1.50e-05	8.86e+00	HD222582b						RadialVelocity
2.34e+00	177		3.67e+01	1.11e-03	1.03e-05	1.49e+01	HD22781b						RadialVelocity
1.32e+00	208		4.61e+01	9.65e-04	4.89e-06	1.71e+01	HD23079b						RadialVelocity
1.13e+00	210		6.97e+01	2.77e-03	3.30e-06	5.97e+00	HD27442b						RadialVelocity
1.74e+00	238		2.61e+01	3.07e-03	2.33e-05	5.37e+00	HD28185b						RadialVelocity
2.90e-01	450		7.01e+00	2.70e-02	8.89e-05	6.11e-01	HD285968b						RadialVelocity
2.04e+00	294		5.24e+01	4.79e-02	5.49e-05	3.44e-01	HD33564b						RadialVelocity
5.40e-01	315		1.59e+01	1.01e-03	7.83e-06	1.64e+01	HD34445c						RadialVelocity
4.49e-01	384		1.07e+01	1.61e-03	1.25e-05	1.02e+01	HD34445d						RadialVelocity
3.67e-01	514		5.97e+00	2.89e-03	2.25e-05	5.70e+00	HD34445e						RadialVelocity
5.98e-01	397		2.66e+01	5.38e-02	4.26e-05	3.07e-01	HD3651b						RadialVelocity
1.38e+00	452		6.60e+00	3.00e-02	2.62e-04	5.50e-01	HD37605b						RadialVelocity
6.83e-01	272		2.70e+01	1.11e-03	5.81e-06	1.48e+01	HD38283b						RadialVelocity
1.67e-01	679		6.23e+00	1.56e-02	2.29e-05	1.06e+00	HD40307c						RadialVelocity
3.04e-01	528		1.03e+01	2.63e-02	3.87e-05	6.26e-01	HD40307d						RadialVelocity
1.55e-01	386		1.92e+01	2.41e-03	3.54e-06	6.84e+00	HD40307f						RadialVelocity
2.75e-01	247		4.68e+01	9.26e-04	1.36e-06	1.78e+01	HD40307g						RadialVelocity
1.55e+00	313		2.54e+01	1.49e-02	5.24e-05	1.11e+00	HD40979b						RadialVelocity
3.49e-01	337		2.36e+01	2.09e-03	5.07e-06	7.90e+00	HD42618b						RadialVelocity
5.60e-01	263		2.09e+01	8.36e-04	6.28e-06	1.97e+01	HD45364b						RadialVelocity
8.51e-01	229		2.75e+01	8.62e-04	6.48e-06	1.91e+01	HD45364c						RadialVelocity
7.61e-01	445		6.36e+00	1.22e-02	1.13e-04	1.35e+00	HD45652b						RadialVelocity
1.30e+00	264		2.11e+01	1.55e-03	8.63e-06	1.06e+01	HD4732b						RadialVelocity
9.94e-01	405		1.78e+01	2.48e-02	5.90e-05	6.66e-01	HD52265b						RadialVelocity
1.86e+00	272		1.12e+01	1.26e-03	1.86e-05	1.31e+01	HD59686Ab						RadialVelocity
9.97e-01	385		3.04e+01	2.54e-02	2.94e-05	6.50e-01	HD60532b						RadialVelocity
1.33e+00	267		6.32e+01	8.46e-03	9.79e-06	1.95e+00	HD60532c						RadialVelocity
1.29e+00	246		1.59e+02	3.06e-02	3.94e-06	5.39e-01	HD62509b						RadialVelocity
8.43e-01	229		2.88e+01	8.43e-04	5.77e-06	1.96e+01	HD63765b						RadialVelocity
5.42e-01	326		1.52e+01	1.90e-03	1.29e-05	8.66e+00	HD65216c						RadialVelocity
1.42e+00	313		1.22e+01	1.74e-03	2.98e-05	9.47e+00	HD67087b						RadialVelocity
3.11e-01	786		6.24e+00	7.84e-02	8.07e-05	2.10e-01	HD69830b						RadialVelocity
3.26e-01	510		1.48e+01	2.87e-02	2.95e-05	5.75e-01	HD69830c						RadialVelocity
3.76e-01	277		5.01e+01	3.38e-03	3.48e-06	4.88e+00	HD69830d						RadialVelocity
1.33e+00	275		1.48e+01	9.83e-04	1.65e-05	1.68e+01	HD75898b						RadialVelocity
2.85e-01	584		6.74e+00	1.79e-02	3.78e-05	9.21e-01	HD7924c						RadialVelocity
1.66e-01	499		9.22e+00	3.86e-03	8.15e-06	4.28e+00	HD7924d						RadialVelocity
1.36e+00	337		9.18e+00	2.28e-03	2.24e-05	7.23e+00	HD81688b						RadialVelocity
1.16e+00	267		4.31e+01	5.54e-03	1.23e-05	2.98e+00	HD82943b						RadialVelocity
1.22e+00	337		2.71e+01	1.89e-02	4.20e-05	8.73e-01	HD82943c						RadialVelocity
1.35e-01	298		2.33e+01	7.93e-04	1.16e-06	2.08e+01	HD85512b						RadialVelocity
1.19e+00	325		1.71e+01	5.87e-03	3.85e-05	2.81e+00	HD8574b						RadialVelocity
1.99e+00	362		2.35e+01	3.35e-02	8.45e-05	4.92e-01	HD89744b						RadialVelocity
3.76e-01	453		1.13e+01	8.50e-03	2.70e-05	1.94e+00	HD90156b						RadialVelocity
1.50e+00	275		2.97e+01	7.70e-03	2.93e-05	2.14e+00	HD92788b						RadialVelocity
7.02e-01	267		1.65e+01	1.81e-03	1.62e-05	9.09e+00	HD93083b						RadialVelocity
1.19e+00	315		1.24e+01	3.63e-03	4.49e-05	4.55e+00	HD9446c						RadialVelocity
1.97e+00	339		9.57e+00	5.35e-03	4.79e-05	3.08e+00	HIP105854b						RadialVelocity
1.23e+00	400		6.95e+00	2.65e-03	2.58e-05	6.22e+00	HIP107773b						RadialVelocity
1.36e+00	270		1.21e+01	1.76e-03	3.73e-05	9.36e+00	HIP109600b						RadialVelocity
1.06e+00	326		1.03e+01	3.33e-03	4.47e-05	4.96e+00	HIP14810c						RadialVelocity
7.26e-01	414		6.88e+00	1.70e-02	1.22e-04	9.72e-01	HIP57274c						Transit
9.02e-01	413		5.69e+00	5.63e-03	9.49e-05	2.93e+00	HIP65407c						RadialVelocity
1.50e+00	1500		8.26e+02	7.57e-02	6.78e-04	2.18e-01	HIP65426b						RadialVelocity
1.09e+00	406		6.97e+00	5.45e-03	4.80e-05	3.02e+00	HIP67851b						RadialVelocity
2.02e+00	181		4.07e+01	9.97e-04	5.21e-06	1.66e+01	HIP75458b						RadialVelocity
1.90e+00	799		1.07e+01	1.92e-03	6.60e-04	8.59e+00	NNSerc						RadialVelocity
1.29e+00	998		6.86e+00	1.39e-03	4.78e-04	1.19e+01	NNSerd						RadialVelocity
9.66e-02	234		3.76e+01	7.99e-03	8.74e-06	2.06e+00	ProximaCenb						PulsarTiming
9.97e-02	301		1.47e+01	4.92e-03	1.74e-05	3.36e+00	Ross128b						Transit
9.34e-01	450		7.92e+02	2.44e-01	4.88e+00	6.76e-02	WISEPJ121756.91+162640.2Ab						Transit
1.11e-01	410		8.71e+00	1.37e-02	2.55e-05	1.20e+00	Wolf1061b						Transit
1.34e-01	266		2.07e+01	2.94e-03	5.46e-06	5.61e+00	Wolf1061c						Transit
8.85e-02	336		5.81e+00	5.68e-03	4.12e-05	2.90e+00	YZCetc						RadialVelocity
9.31e-02	292		7.68e+00	3.29e-03	2.38e-05	5.01e+00	YZCetd						Transit
1.19e+00	224		5.94e+01	3.83e-03	4.06e-06	4.31e+00	alfArib						Transit
1.84e+00	222		1.85e+01	7.05e-04	7.33e-06	2.34e+01	epsCrBb						RadialVelocity
1.92e+00	255		4.06e+01	3.97e-03	6.58e-06	4.16e+00	epsTaub						RadialVelocity
2.02e+00	194		3.09e+01	1.11e-03	6.75e-06	1.48e+01	gam1Leob						RadialVelocity
1.31e+00	233		2.70e+01	1.47e-03	6.34e-06	1.13e+01	muLeob						RadialVelocity
2.82e+00	275		4.06e+01	1.30e-02	1.65e-05	1.27e+00	nuOphb						RadialVelocity
1.17e+00	296		1.36e+01	1.10e-03	8.37e-06	1.50e+01	omeSerb						RadialVelocity
1.12e+00	335		9.88e+00	1.66e-03	1.43e-05	9.95e+00	omiCrBb						Imaging
9.93e-01	614		1.27e+01	2.36e-01	4.05e-04	6.99e-02	rhoCrBb						RadialVelocity
4.19e-01	448		2.39e+01	1.66e-02	2.85e-05	9.93e-01	rhoCrBc						RadialVelocity
2.68e+00	271		1.27e+01	2.79e-03	2.75e-05	5.91e+00	tauGemb						RadialVelocity
1.38e+00	380		1.08e+01	7.55e-03	3.38e-05	2.18e+00	xiAqlb						RadialVelocity
