
Observation wavelength : 5.00e-07 m
Bond Albedo: 3.00e-01
The base line is: 2.00e+02 m
Flux is the thermal flux of the planet 
R flux is the reflective flux of the planet
The contrast is computed for the total flux

########################################################
HOSTS STARS

NORTHERN HEMISPHERE
Parsec			Magnitude		RA		DEC			Star
2.59e+02	V (Johnson)	1.47e+01	1.69e+02	5.99e+00	K2-50
2.58e+02	V (Johnson)	1.21e+01	5.53e+01	1.35e+01	K2-79
2.02e+02	V (Johnson)	1.26e+01	5.90e+01	1.36e+01	K2-80
2.02e+02	V (Johnson)	1.26e+01	5.90e+01	1.36e+01	K2-80
1.26e+02	V (Johnson)	1.45e+01	5.99e+01	1.56e+01	K2-83
2.87e+02	V (Johnson)	1.34e+01	5.58e+01	1.66e+01	K2-84
2.61e+02	V (Johnson)	1.32e+01	5.16e+01	1.86e+01	K2-86
1.11e+02	V (Johnson)	1.55e+01	5.48e+01	1.91e+01	K2-88
8.32e+01	V (Johnson)	1.56e+01	1.76e+02	5.30e-03	K2-9
1.35e+02	V (Johnson)	1.39e+01	5.92e+01	2.25e+01	K2-90
1.35e+02	V (Johnson)	1.39e+01	5.92e+01	2.25e+01	K2-90
6.27e+01	V (Johnson)	1.56e+01	6.32e+01	2.42e+01	K2-91
1.81e+02	Kepler-band	1.55e+01	1.29e+02	1.90e+01	K2-95
1.40e+02	V (Johnson)	7.58e+00	2.95e+02	3.12e+01	KELT-20
9.00e+02	V (Johnson)	1.49e+01	2.91e+02	4.49e+01	KOI-1257
3.39e+02	V (Johnson)	1.31e+01	2.91e+02	4.07e+01	KOI-142
7.80e+02	Kepler-band	1.38e+01	2.84e+02	4.93e+01	KOI-351
7.80e+02	Kepler-band	1.38e+01	2.84e+02	4.93e+01	KOI-351
7.80e+02	Kepler-band	1.38e+01	2.84e+02	4.93e+01	KOI-351
7.80e+02	Kepler-band	1.38e+01	2.84e+02	4.93e+01	KOI-351
7.80e+02	Kepler-band	1.38e+01	2.84e+02	4.93e+01	KOI-351
4.62e+02	Kepler-band	1.22e+01	2.97e+02	4.19e+01	KOI-94
4.62e+02	Kepler-band	1.22e+01	2.97e+02	4.19e+01	KOI-94
4.03e+02	Kepler-band	1.26e+01	2.88e+02	4.22e+01	Kepler-104
4.03e+02	Kepler-band	1.26e+01	2.88e+02	4.22e+01	Kepler-104
7.29e+02	Kepler-band	1.27e+01	2.95e+02	4.61e+01	Kepler-108
7.29e+02	Kepler-band	1.27e+01	2.95e+02	4.61e+01	Kepler-108
6.13e+02	V (Johnson)	1.42e+01	2.97e+02	4.19e+01	Kepler-11
6.13e+02	V (Johnson)	1.42e+01	2.97e+02	4.19e+01	Kepler-11
6.13e+02	V (Johnson)	1.42e+01	2.97e+02	4.19e+01	Kepler-11
6.92e+02	Kepler-band	1.29e+01	2.93e+02	4.86e+01	Kepler-110
6.98e+02	Kepler-band	1.35e+01	2.92e+02	4.47e+01	Kepler-111
4.99e+02	Kepler-band	1.38e+01	2.97e+02	4.32e+01	Kepler-112
6.22e+02	Kepler-band	1.47e+01	2.86e+02	3.97e+01	Kepler-121
3.83e+02	Kepler-band	1.41e+01	2.87e+02	4.91e+01	Kepler-124
3.83e+02	Kepler-band	1.41e+01	2.87e+02	4.91e+01	Kepler-124
1.71e+02	Kepler-band	1.48e+01	2.98e+02	4.76e+01	Kepler-125
2.31e+02	Kepler-band	1.05e+01	2.89e+02	4.42e+01	Kepler-126
2.31e+02	Kepler-band	1.05e+01	2.89e+02	4.42e+01	Kepler-126
2.31e+02	Kepler-band	1.05e+01	2.89e+02	4.42e+01	Kepler-126
3.53e+02	Kepler-band	1.15e+01	2.85e+02	4.60e+01	Kepler-127
3.53e+02	Kepler-band	1.15e+01	2.85e+02	4.60e+01	Kepler-127
3.53e+02	Kepler-band	1.15e+01	2.85e+02	4.60e+01	Kepler-127
